,Begin,End,class,Count,From,To
0,0,3600,cars_SUV,6.0,east_luna_0,south_roa_1
1,0,3600,others,0.0,north_corrales_0,east_recto_3
2,0,3600,others,0.0,east_recto_2,south_corrales_2
3,0,3600,motorela,1.0,east_recto_2,south_corrales_2
4,0,3600,jeepney,5.0,east_recto_2,south_corrales_2
5,0,3600,bicycle_tricycle,0.0,east_recto_2,south_corrales_2
6,0,3600,largeTrucks,0.0,east_recto_2,south_corrales_2
7,0,3600,smallTrucks,1.0,east_recto_2,south_corrales_2
8,0,3600,buses,1.0,east_recto_2,south_corrales_2
9,0,3600,motorela,1.0,north_corrales_0,east_recto_3
10,0,3600,taxi,8.0,east_recto_2,south_corrales_2
11,0,3600,cars_SUV,10.0,east_recto_2,south_corrales_2
12,0,3600,others,2.0,west_luna_1,north_roa_1
13,0,3600,motorela,2.0,west_luna_1,north_roa_1
14,0,3600,jeepney,2.0,west_luna_1,north_roa_1
15,0,3600,bicycle_tricycle,2.0,west_luna_1,north_roa_1
16,0,3600,largeTrucks,2.0,west_luna_1,north_roa_1
17,0,3600,smallTrucks,10.0,west_luna_1,north_roa_1
18,0,3600,buses,0.0,west_luna_1,north_roa_1
19,0,3600,motorcycles_scooters,5.0,east_recto_2,south_corrales_2
20,0,3600,taxi,13.0,west_luna_1,north_roa_1
21,0,3600,jeepney,7.0,north_corrales_0,east_recto_3
22,0,3600,largeTrucks,0.0,north_corrales_0,east_recto_3
23,0,3600,jeepney,85.0,west_recto_2,west_recto_3
24,0,3600,motorela,13.0,west_recto_2,west_recto_3
25,0,3600,others,21.0,west_recto_2,west_recto_3
26,0,3600,others,0.0,north_corrales_1,east_luna_2
27,0,3600,motorela,2.0,north_corrales_1,east_luna_2
28,0,3600,jeepney,0.0,north_corrales_1,east_luna_2
29,0,3600,bicycle_tricycle,0.0,north_corrales_1,east_luna_2
30,0,3600,largeTrucks,0.0,north_corrales_1,east_luna_2
31,0,3600,bicycle_tricycle,0.0,north_corrales_0,east_recto_3
32,0,3600,smallTrucks,2.0,north_corrales_1,east_luna_2
33,0,3600,taxi,6.0,north_corrales_1,east_luna_2
34,0,3600,motorcycles_scooters,4.0,north_corrales_1,east_luna_2
35,0,3600,cars_SUV,6.0,north_corrales_1,east_luna_2
36,0,3600,cars_SUV,14.0,north_corrales_0,east_recto_3
37,0,3600,motorcycles_scooters,8.0,north_corrales_0,east_recto_3
38,0,3600,taxi,12.0,north_corrales_0,east_recto_3
39,0,3600,buses,1.0,north_corrales_0,east_recto_3
40,0,3600,smallTrucks,2.0,north_corrales_0,east_recto_3
41,0,3600,buses,0.0,north_corrales_1,east_luna_2
42,0,3600,motorcycles_scooters,11.0,west_luna_1,north_roa_1
43,0,3600,cars_SUV,18.0,west_luna_1,north_roa_1
44,0,3600,cars_SUV,159.0,south_osmena_1,south_osmena_2
45,0,3600,smallTrucks,13.0,north_roa_0,north_roa_1
46,0,3600,largeTrucks,3.0,north_roa_0,north_roa_1
47,0,3600,bicycle_tricycle,3.0,north_roa_0,north_roa_1
48,0,3600,jeepney,2.0,north_roa_0,north_roa_1
49,0,3600,motorela,2.0,north_roa_0,north_roa_1
50,0,3600,others,2.0,north_roa_0,north_roa_1
51,0,3600,cars_SUV,11.0,south_osmena_2,west_recto_3
52,0,3600,motorcycles_scooters,4.0,south_osmena_2,west_recto_3
53,0,3600,buses,0.0,north_roa_0,north_roa_1
54,0,3600,taxi,10.0,south_osmena_2,west_recto_3
55,0,3600,smallTrucks,6.0,south_osmena_2,west_recto_3
56,0,3600,largeTrucks,2.0,south_osmena_2,west_recto_3
57,0,3600,bicycle_tricycle,0.0,south_osmena_2,west_recto_3
58,0,3600,jeepney,7.0,south_osmena_2,west_recto_3
59,0,3600,motorela,1.0,south_osmena_2,west_recto_3
60,0,3600,others,2.0,south_osmena_2,west_recto_3
61,0,3600,others,2.0,east_recto_0,north_osmena_1
62,0,3600,motorela,1.0,east_recto_0,north_osmena_1
63,0,3600,buses,0.0,south_osmena_2,west_recto_3
64,0,3600,taxi,16.0,north_roa_0,north_roa_1
65,0,3600,motorcycles_scooters,14.0,north_roa_0,north_roa_1
66,0,3600,cars_SUV,24.0,north_roa_0,north_roa_1
67,0,3600,motorcycles_scooters,49.0,south_osmena_1,south_osmena_2
68,0,3600,taxi,95.0,south_osmena_1,south_osmena_2
69,0,3600,buses,6.0,south_osmena_1,south_osmena_2
70,0,3600,smallTrucks,68.0,south_osmena_1,south_osmena_2
71,0,3600,largeTrucks,10.0,south_osmena_1,south_osmena_2
72,0,3600,bicycle_tricycle,1.0,south_osmena_1,south_osmena_2
73,0,3600,jeepney,3.0,south_osmena_1,south_osmena_2
74,0,3600,motorela,13.0,south_osmena_1,south_osmena_2
75,0,3600,others,10.0,south_osmena_1,south_osmena_2
76,0,3600,others,1.0,west_luna_2,north_osmena_3
77,0,3600,motorela,1.0,west_luna_2,north_osmena_3
78,0,3600,jeepney,0.0,west_luna_2,north_osmena_3
79,0,3600,bicycle_tricycle,0.0,west_luna_2,north_osmena_3
80,0,3600,largeTrucks,1.0,west_luna_2,north_osmena_3
81,0,3600,smallTrucks,3.0,west_luna_2,north_osmena_3
82,0,3600,buses,0.0,west_luna_2,north_osmena_3
83,0,3600,taxi,5.0,west_luna_2,north_osmena_3
84,0,3600,motorcycles_scooters,3.0,west_luna_2,north_osmena_3
85,0,3600,cars_SUV,5.0,west_luna_2,north_osmena_3
86,0,3600,bicycle_tricycle,3.0,west_recto_2,west_recto_3
87,0,3600,jeepney,7.0,east_recto_0,north_osmena_1
88,0,3600,largeTrucks,31.0,west_recto_2,west_recto_3
89,0,3600,buses,3.0,west_recto_2,west_recto_3
90,0,3600,cars_SUV,69.0,north_corrales_1,north_corrales_2
91,0,3600,cars_SUV,204.0,west_recto_0,west_recto_1
92,0,3600,motorcycles_scooters,113.0,west_recto_0,west_recto_1
93,0,3600,taxi,174.0,west_recto_0,west_recto_1
94,0,3600,buses,22.0,west_recto_0,west_recto_1
95,0,3600,smallTrucks,25.0,west_recto_0,west_recto_1
96,0,3600,largeTrucks,0.0,west_recto_0,west_recto_1
97,0,3600,bicycle_tricycle,0.0,west_recto_0,west_recto_1
98,0,3600,motorcycles_scooters,39.0,north_corrales_1,north_corrales_2
99,0,3600,jeepney,108.0,west_recto_0,west_recto_1
100,0,3600,others,0.0,west_recto_0,west_recto_1
101,0,3600,others,1.0,west_luna_2,south_osmena_1
102,0,3600,motorela,1.0,west_luna_2,south_osmena_1
